County_1,FIPS,Population,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,LSTMean_2020,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,LSTNight_2018,LSTDay_2018,Chlorophyll_2018,LSTNight_2019,LSTDay_2019,Chlorophyll_2019,Chlorophyll_2020,LSTNight_2021,LSTDay_2021,Chlorophyll_2021,LSTNight_2022,LSTDay_2022,Chlorophyll_2022,LSTNight_2023,LSTDay_2023,Chlorophyll_2023,LSTNight_2024,LSTDay_2024,Chlorophyll_2024,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024,Cases_normalized_2017,Cases_normalized_2018,Cases_normalized_2019,Cases_normalized_2020
Christian,17021,32304,93.88344294,2.604866296,28.47237289,16.5474707,3.58799909,23.314999999999998,18.91,27.61,1.48517946,20.34,27.31,1.61883228,19.04,27.04,1.429980055,1.637396347,19.61,27.31,1.475675133,19.49,27.48,1.871632458,19.42,27.37,1.683479298,19.5,24.74,1.669216618,0.8,0.72,0.83,0.72,0.79,0.86,0.79,0.82,0.79,0.78,0.81,0.75,0.81,0.84,0.8,0.82,0.77,0.77,0.79,0.72,0.79,0.87,0.79,0.8182,0.0,0.0,0.0,0.0
Clark,17023,15441,94.65672983,3.197186422,28.43449177,16.41985428,3.334522911,22.63,18.17,27.34,1.366887791,19.51,26.99,1.353092247,18.91,26.93,1.244033735,1.460566073,19.17,26.72,1.201321222,18.97,26.93,1.40354395,18.79,27.08,1.397863419,18.97,24.15,1.446925195,0.8,0.76,0.78,0.74,0.79,0.85,0.79,0.81,0.8,0.81,0.8,0.78,0.81,0.85,0.81,0.82,0.76,0.77,0.76,0.73,0.78,0.79,0.76,0.7771,0.0,0.0,0.0,0.0
Clay,17025,13184,95.33390818,3.417311664,29.18343574,17.09596501,3.335514728,0.0,0.0,0.0,1.275717633,0.0,0.0,1.611215466,0.0,0.0,1.184693103,1.576911068,0.0,0.0,1.439732678,0.0,0.0,1.616805941,0.0,0.0,1.655847678,0.0,0.0,1.601057277,0.73,0.76,0.76,0.72,0.78,0.8,0.8,0.79,0.77,0.81,0.8,0.77,0.81,0.81,0.82,0.82,0.73,0.79,0.78,0.76,0.81,0.8,0.8,0.8036,0.0,0.0,0.0,0.0
Clinton,17027,37562,94.97333436,3.522532961,29.03736256,17.62061917,3.41926691,24.02,22.46,25.9,1.391024456,23.43,26.21,1.750652212,23.01,25.43,1.391865547,1.461866798,23.01,25.45,1.406774382,23.1,26.25,1.639334815,22.96,25.75,1.326461816,23.02,24.89,6.632614679,0.75,0.77,0.82,0.72,0.79,0.81,0.78,0.79,0.79,0.81,0.82,0.77,0.82,0.81,0.8,0.81,0.68,0.74,0.84,0.67,0.77,0.8,0.84,0.807,0.0,5.305461973101308,0.0,0.0
Coles,17029,50621,92.42685133,3.256169538,28.56290922,16.8426758,3.487225909,22.494999999999997,17.58,27.62,1.329303107,19.37,27.13,1.506259359,18.4,26.84,1.264959671,1.692730083,18.54,26.7,1.396507119,18.3,26.17,1.570355606,18.58,27.0,1.453769969,18.47,23.82,1.620036724,0.77,0.76,0.81,0.74,0.81,0.85,0.79,0.82,0.79,0.81,0.82,0.78,0.82,0.84,0.81,0.82,0.67,0.72,0.73,0.57,0.74,0.78,0.68,0.7305,0.0,1.967380825906471,0.0,0.0
Cook,17031,5150233,84.61355603,2.716444544,27.43310234,17.03958186,3.881133377,24.53,17.8,29.15,0.924031471,19.48,30.13,0.692520145,18.42,29.12,0.67157164,0.92161504,19.13,30.61,0.741607141,18.97,30.23,0.92409833,18.84,29.9,0.885392195,18.98,26.56,1.170805854,0.67,0.67,0.63,0.64,0.65,0.7,0.68,0.67,0.72,0.73,0.73,0.71,0.73,0.75,0.74,0.74,0.64,0.59,0.61,0.78,0.63,0.64,0.6,0.624,0.999842140308232,2.010843084633292,0.271832361759167,0.6455199397312207
Crawford,17033,18667,96.39232448,3.318016983,28.54138033,16.53402636,3.059309384,23.009999999999998,18.39,28.02,1.284724667,19.7,28.15,1.244102935,19.13,27.59,1.286539143,1.464452304,19.07,27.16,1.327011903,18.92,26.93,1.334570992,18.79,28.07,1.46679881,18.93,24.29,1.428161922,0.78,0.76,0.78,0.76,0.79,0.84,0.82,0.82,0.79,0.79,0.81,0.78,0.81,0.84,0.83,0.83,0.77,0.81,0.77,0.71,0.71,0.77,0.74,0.7388,0.0,0.0,0.0,0.0
Cumberland,17035,10766,94.59788219,3.619201902,28.60901782,16.66927772,3.503741077,22.595,17.27,27.62,1.322019712,19.25,26.93,1.444115766,18.51,26.79,1.247598088,1.426709677,18.39,26.71,1.315398856,18.29,26.16,1.609346071,18.52,27.04,1.542552962,18.4,23.8,1.521075876,0.78,0.78,0.78,0.74,0.79,0.86,0.78,0.81,0.79,0.82,0.8,0.77,0.81,0.85,0.8,0.82,0.79,0.72,0.8,0.73,0.78,0.78,0.79,0.7841,0.0,0.0,0.0,0.0
DeKalb,17037,104897,91.53273033,3.04351028,27.24227289,14.98195411,4.073757407,22.880000000000003,16.84,25.84,1.28333178,18.29,26.82,1.152057686,17.73,26.08,1.144122989,1.172323318,17.63,28.1,1.142115261,17.52,27.88,1.575036921,17.81,27.08,1.481935667,17.66,24.6,1.474069205,0.84,0.71,0.8,0.74,0.78,0.84,0.83,0.81,0.81,0.74,0.77,0.74,0.78,0.81,0.81,0.8,0.74,0.72,0.67,0.6,0.65,0.78,0.66,0.6936,0.0,1.916645104409242,0.0,0.0
De Witt,17039,15638,92.17413825,2.25487504,28.26846268,16.17918602,3.607652289,23.2,18.86,27.61,1.31532649,20.37,26.49,1.441542456,19.46,26.72,1.239104763,1.635061379,19.68,26.61,1.297976187,19.75,26.93,1.722017123,19.69,26.8,1.621783459,19.71,24.41,2.045491238,0.79,0.73,0.85,0.73,0.79,0.85,0.84,0.83,0.77,0.77,0.81,0.75,0.8,0.82,0.81,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Douglas,17041,19465,92.35059365,2.968156416,28.45254419,16.53913883,3.485208506,0.0,0.0,0.0,1.267654138,0.0,0.0,1.451150503,0.0,0.0,1.297516664,1.549374316,0.0,0.0,1.367988236,0.0,0.0,1.455022939,0.0,0.0,1.415711672,0.0,0.0,1.539244054,0.77,0.74,0.82,0.74,0.8,0.85,0.81,0.82,0.77,0.78,0.81,0.76,0.81,0.84,0.8,0.81,0.65,0.64,0.81,0.78,0.81,0.64,0.81,0.7553,5.094503031229303,0.0,0.0,0.0
DuPage,17043,922921,88.32557239,2.468563112,27.84374185,16.16754198,4.031417639,23.65,16.54,28.05,0.734576391,18.7,30.12,0.692728049,17.8,28.93,0.717548667,0.737333598,18.42,30.85,0.691168717,18.05,29.36,0.765850764,17.9,29.72,0.752474742,18.12,26.04,0.778845676,0.72,0.71,0.72,0.68,0.73,0.75,0.75,0.74,0.71,0.72,0.73,0.69,0.71,0.73,0.73,0.72,0.76,0.81,0.76,0.75,0.78,0.82,0.79,0.7962,0.6449775064094639,1.941230330214064,0.0,0.4294112342567106
Edgar,17045,17161,93.8892787,3.58247349,28.63560479,16.29141005,3.406841704,0.0,0.0,0.0,1.346951743,0.0,0.0,1.397862856,0.0,0.0,1.376184106,1.584700955,0.0,0.0,1.250027954,0.0,0.0,1.427030698,0.0,0.0,1.395833743,0.0,0.0,1.480000649,0.79,0.75,0.82,0.74,0.79,0.85,0.82,0.82,0.79,0.81,0.82,0.78,0.81,0.84,0.82,0.82,0.73,0.77,0.78,0.73,0.78,0.79,0.72,0.7645,0.0,5.76036866359447,0.0,0.0
Edwards,17047,6395,95.86086447,2.976660576,29.33428507,17.57542905,3.084563815,0.0,0.0,0.0,1.424772515,0.0,0.0,1.306729112,0.0,0.0,1.246292119,1.63982972,0.0,0.0,1.423257335,0.0,0.0,1.459783785,0.0,0.0,1.651693112,0.0,0.0,1.456184725,0.77,0.75,0.75,0.74,0.77,0.82,0.8,0.8,0.78,0.78,0.78,0.77,0.8,0.83,0.81,0.81,0.73,0.78,0.82,0.76,0.82,0.8,0.8,0.8064,0.0,15.65680288085173,0.0,0.0
Effingham,17049,34008,94.91346333,3.107923452,28.71497772,16.81730956,3.534507726,23.72,19.6,28.15,1.419701487,20.85,27.56,1.479935947,20.22,26.7,1.324320864,1.461543191,19.83,27.76,1.278692402,20.13,26.91,1.58164541,20.24,27.34,1.507769485,20.07,24.97,1.417106206,0.76,0.76,0.79,0.72,0.77,0.84,0.79,0.8,0.78,0.81,0.81,0.76,0.8,0.84,0.8,0.81,0.76,0.81,0.73,0.7,0.77,0.83,0.79,0.7977,0.0,0.0,0.0,0.0
Fayette,17051,21336,95.04736389,3.083690521,28.61551512,16.72513716,3.520937039,23.689999999999998,21.84,26.16,1.648082619,22.69,26.4,1.787292163,22.5,25.3,1.527508567,1.765017171,22.02,25.43,1.535483097,22.85,26.16,1.903763326,22.28,25.81,1.677344803,22.38,24.62,1.650571095,0.78,0.78,0.81,0.72,0.79,0.83,0.8,0.81,0.8,0.82,0.82,0.77,0.82,0.83,0.82,0.82,0.72,0.72,0.75,0.75,0.78,0.77,0.79,0.7818,0.0,0.0,0.0,0.0
Ford,17053,12961,92.90159891,3.165805974,28.03492447,15.63830318,3.54163474,0.0,0.0,0.0,1.508504993,0.0,0.0,1.499395453,0.0,0.0,1.255983724,1.754554307,0.0,0.0,1.429657842,0.0,0.0,1.728523066,0.0,0.0,1.837276395,0.0,0.0,1.903581122,0.81,0.73,0.8,0.73,0.8,0.84,0.84,0.83,0.79,0.74,0.75,0.73,0.8,0.82,0.81,0.81,0.77,0.79,0.77,0.75,0.79,0.78,0.78,0.7831,0.0,7.568876778686043,0.0,0.0
Franklin,17055,38469,94.66931769,2.853284537,29.19076976,18.20141875,2.741990958,24.195,22.21,26.75,1.510652112,23.19,26.9,1.369130875,22.66,26.5,1.260631825,1.394588297,22.33,26.22,1.328200638,22.8,26.92,1.625183527,22.65,26.57,1.563872553,22.59,25.26,1.991247108,0.78,0.79,0.74,0.73,0.78,0.8,0.81,0.8,0.78,0.79,0.76,0.76,0.79,0.8,0.8,0.8,0.77,0.76,0.74,0.74,0.71,0.77,0.84,0.7739,2.564431337350942,2.584313218762114,2.5994956978346204,0.0
Fulton,17057,34340,93.94115333,2.957664692,27.97880952,15.98403695,3.822573405,23.485,19.84,26.75,1.590269529,21.29,26.87,1.504928588,20.56,26.51,1.233910294,1.695702573,20.49,26.94,1.596325028,19.89,26.67,1.767041635,20.66,26.74,1.767591658,20.35,24.76,2.026999039,0.82,0.77,0.79,0.77,0.81,0.83,0.82,0.82,0.82,0.8,0.79,0.79,0.82,0.82,0.82,0.82,0.76,0.77,0.82,0.77,0.83,0.75,0.79,0.7889,0.0,2.871088142405972,0.0,0.0
Gallatin,17059,4828,96.99471354,4.345247853,28.96347375,17.62526357,2.881095984,23.035,19.28,27.13,1.479904093,20.51,27.65,1.295577627,19.85,28.79,1.364532902,1.41212486,19.32,26.26,1.459961917,18.9,27.59,1.577420199,19.84,27.79,1.365410268,19.35,24.56,1.389580035,0.75,0.73,0.74,0.71,0.73,0.79,0.8,0.77,0.82,0.82,0.8,0.8,0.81,0.83,0.84,0.83,0.77,0.76,0.74,0.68,0.7,0.83,0.75,0.7601,0.0,0.0,0.0,0.0
Greene,17061,12969,94.96145221,3.102566424,28.84349138,17.07673325,3.443906533,22.770000000000003,18.93,27.24,1.612419864,20.36,26.78,1.683626857,20.27,26.86,1.521217675,1.574410246,19.56,26.51,1.544876279,19.54,27.58,1.928555386,19.94,26.66,1.831639098,19.68,24.68,1.688647722,0.79,0.73,0.81,0.74,0.81,0.84,0.8,0.81,0.79,0.79,0.83,0.78,0.83,0.84,0.82,0.83,0.73,0.68,0.75,0.75,0.76,0.75,0.78,0.7639,0.0,0.0,0.0,0.0
Grundy,17063,51054,90.51051257,3.110195643,28.06991111,15.85648006,3.481050409,22.96,17.95,26.0,1.441510265,19.68,26.72,1.366800594,19.14,26.02,1.260689707,1.556655184,19.63,27.13,1.371679485,19.37,26.88,1.896524128,19.18,26.65,1.739910449,19.39,24.4,1.673034222,0.81,0.73,0.8,0.73,0.77,0.82,0.82,0.8,0.77,0.75,0.78,0.74,0.76,0.79,0.78,0.78,0.75,0.77,0.79,0.77,0.81,0.77,0.78,0.7867,0.0,0.0,0.0,1.903492909488912
Hamilton,17065,8116,95.67975112,3.289714547,29.20119461,17.76262574,2.953468023,0.0,0.0,0.0,1.715928559,0.0,0.0,1.369861316,18.87,28.56,1.312768418,1.527715178,0.0,0.0,1.489916611,0.0,0.0,1.679516817,6.29,9.52,1.592285224,2.1,2.1,1.447362029,0.77,0.76,0.74,0.72,0.76,0.81,0.81,0.8,0.79,0.8,0.78,0.78,0.81,0.82,0.83,0.82,0.8,0.76,0.79,0.8,0.8,0.78,0.8,0.7934,0.0,0.0,0.0,0.0
Hancock,17067,17708,92.32318628,3.357260801,27.89238965,16.90001364,3.720979309,22.869999999999997,19.55,25.65,1.697939377,21.03,25.84,1.423828097,20.38,25.31,1.34754194,1.511636434,20.45,26.01,1.453526498,20.39,25.65,1.53049446,20.5,25.6,1.739035124,20.45,24.05,1.691764256,0.82,0.74,0.81,0.76,0.81,0.81,0.81,0.81,0.81,0.79,0.8,0.79,0.82,0.8,0.8,0.81,0.78,0.79,0.81,0.76,0.8,0.8,0.82,0.8063,0.0,0.0,0.0,0.0
Hardin,17069,3821,96.74107652,4.509621899,28.51873733,17.73963639,3.130040759,23.03,20.1,26.2,1.756177833,21.33,27.07,1.682286996,20.52,26.57,1.824841036,1.905058093,20.37,25.8,1.785243372,20.55,26.75,2.614801783,20.71,26.47,1.88309253,20.54,24.42,2.04013151,0.78,0.79,0.78,0.77,0.78,0.8,0.81,0.79,0.82,0.83,0.84,0.83,0.83,0.84,0.85,0.84,0.82,0.76,0.78,0.76,0.8,0.79,0.78,0.7867,0.0,0.0,0.0,0.0
Henderson,17071,6646,92.68503879,2.999336021,27.86224711,16.27902032,3.783074925,22.97,20.13,24.48,1.658975252,21.43,25.11,1.354338708,20.89,24.73,1.252604509,1.466735785,20.64,25.8,1.359538736,20.54,25.5,1.7537307,20.99,25.04,1.88354218,20.73,24.1,1.775694589,0.84,0.75,0.82,0.76,0.81,0.83,0.83,0.82,0.8,0.76,0.78,0.76,0.8,0.81,0.81,0.81,0.82,0.75,0.75,0.75,0.82,0.82,0.82,0.819,0.0,0.0,0.0,0.0
Henry,17073,48913,91.94908925,3.708462667,27.73933442,15.6588737,3.718366956,22.265,16.8,27.31,1.565552946,18.59,26.67,1.341223398,18.25,26.76,1.156525625,1.610793353,17.67,27.4,1.542543629,17.53,26.95,1.573106888,18.14,26.79,1.733342286,17.78,24.16,1.771833821,0.85,0.74,0.78,0.75,0.81,0.85,0.83,0.83,0.82,0.77,0.77,0.77,0.8,0.83,0.8,0.81,0.81,0.77,0.77,0.77,0.78,0.81,0.78,0.7913,0.0,0.0,0.0,0.0
Iroquois,17075,27114,92.18909492,3.120088603,28.0267728,15.59634108,3.572903283,22.66,16.2,27.85,1.418115899,17.97,28.47,1.435175207,16.76,28.43,1.224984203,1.672012751,17.6,27.89,1.426072349,17.44,28.11,1.739902042,17.17,28.48,1.695967773,17.41,24.39,1.817149939,0.81,0.72,0.78,0.72,0.8,0.85,0.84,0.83,0.81,0.77,0.79,0.76,0.82,0.84,0.84,0.83,0.78,0.79,0.75,0.72,0.77,0.77,0.79,0.7772,0.0,0.0,0.0,0.0
Jackson,17077,56750,95.64075869,3.238326531,29.37912433,18.02613962,2.82710609,23.439999999999998,20.61,26.68,1.700405642,21.77,26.86,1.507208017,21.14,26.5,1.382082082,1.67206643,20.62,26.17,104.2533232,21.35,27.54,1.944066094,21.19,26.53,1.725364027,21.05,24.96,1.586601289,0.78,0.79,0.69,0.73,0.77,0.79,0.79,0.79,0.82,0.84,0.81,0.81,0.82,0.82,0.83,0.83,0.68,0.75,0.76,0.73,0.79,0.8,0.77,0.7884,3.453992815694943,0.0,0.0,0.0
Jasper,17079,9610,95.06341796,3.554982092,28.62768663,16.96979986,3.419908477,23.415,19.58,27.99,1.363817044,20.63,27.45,1.417226506,20.21,27.25,1.291328857,1.437923897,20.21,26.82,1.329317328,20.17,27.14,1.494577714,20.05,27.4,1.610999194,20.14,24.67,1.51272536,0.78,0.76,0.78,0.73,0.77,0.84,0.82,0.81,0.78,0.8,0.8,0.77,0.79,0.83,0.81,0.81,0.74,0.78,0.82,0.77,0.84,0.78,0.78,0.7998,0.0,0.0,0.0,0.0
Jefferson,17081,37684,94.85780641,2.452261493,29.24894578,17.66435948,3.024098959,24.25,22.15,27.1,1.521175104,23.08,26.82,1.528519211,22.78,26.76,1.376119098,1.48683621,22.53,26.25,1.578042056,22.87,26.85,1.857992125,22.68,26.63,1.66352187,22.7,25.26,2.290535858,0.75,0.8,0.75,0.73,0.79,0.8,0.8,0.8,0.77,0.81,0.78,0.76,0.81,0.81,0.81,0.81,0.78,0.75,0.77,0.75,0.76,0.85,0.74,0.7819,0.0,0.0,0.0,0.0
Jersey,17083,21773,94.83268687,2.937476041,29.04203269,17.42807717,3.341038163,23.505000000000003,20.03,26.6,1.658294122,21.59,27.32,1.560961033,21.47,26.01,1.526174638,1.729152085,21.08,26.44,1.561390631,20.92,27.1,1.93405165,21.19,26.61,1.715129224,21.06,24.91,1.6551837,0.78,0.74,0.8,0.75,0.81,0.84,0.82,0.82,0.82,0.81,0.83,0.8,0.84,0.84,0.84,0.84,0.76,0.75,0.78,0.79,0.79,0.79,0.81,0.7961,0.0,0.0,0.0,0.0
Jo Daviess,17085,21235,93.34498027,4.113570006,26.66410996,14.78818495,3.782529413,21.854999999999997,17.82,24.0,1.49702995,19.32,24.57,1.4860072,18.66,24.14,1.398601375,1.835846864,18.37,25.55,1.492204383,18.39,25.06,1.837647946,18.94,24.53,1.519541171,18.57,23.19,1.613571995,0.81,0.76,0.83,0.78,0.8,0.84,0.81,0.81,0.8,0.79,0.82,0.79,0.81,0.83,0.8,0.81,0.77,0.79,0.68,0.66,0.69,0.78,0.71,0.7268,0.0,0.0,0.0,0.0
Johnson,17087,12417,96.08559619,4.179994971,29.2749269,18.25632823,2.834109313,23.259999999999998,20.47,26.55,1.99457164,21.23,26.87,1.458175651,20.37,26.73,1.906625885,1.797013711,20.38,26.35,1.600572467,20.61,27.37,2.164557467,20.64,26.6,1.873927163,20.54,24.78,1.682617582,0.8,0.81,0.79,0.79,0.8,0.81,0.84,0.82,0.82,0.83,0.82,0.82,0.82,0.83,0.85,0.83,0.72,0.7,0.73,0.68,0.75,0.71,0.75,0.7372,0.0,0.0,0.0,0.0
Kane,17089,532403,91.71962297,2.910992693,27.42508082,15.15563918,4.060875354,24.525,17.17,29.16,1.098059874,18.85,29.87,1.030692008,18.45,29.16,1.009184958,1.064203015,18.75,30.42,0.997278967,18.32,28.91,1.349483401,18.58,29.88,1.208645166,18.55,25.97,1.210109779,0.8,0.72,0.76,0.73,0.77,0.81,0.8,0.8,0.75,0.74,0.75,0.72,0.76,0.78,0.77,0.77,0.72,0.68,0.74,0.69,0.74,0.7,0.74,0.7277,0.3757477379986172,1.3140111127796967,0.0,0.0
Kankakee,17091,109862,91.55962946,2.876183596,27.94451317,15.79613006,3.503659435,23.355,17.15,27.6,1.337208813,19.45,28.09,1.322050306,18.44,27.53,1.172430825,1.432757125,19.46,27.93,1.415398498,19.3,28.9,1.519965536,18.47,28.27,1.59698546,19.08,25.1,1.635312416,0.8,0.72,0.78,0.72,0.79,0.81,0.82,0.81,0.79,0.76,0.79,0.76,0.79,0.8,0.81,0.8,0.76,0.72,0.79,0.76,0.8,0.76,0.82,0.7931,1.8092998009770216,0.0,0.9102328375598476,0.0
Kendall,17093,128990,90.58947347,2.434159438,27.79515208,15.58694668,3.621822354,23.175,15.85,27.32,1.295479137,18.23,28.49,1.188073392,17.68,27.31,1.131310168,1.266521626,18.1,28.83,1.21930374,17.92,28.04,1.566171318,17.68,28.34,1.524618502,17.9,24.85,1.533913183,0.81,0.71,0.77,0.72,0.76,0.82,0.82,0.8,0.78,0.74,0.78,0.74,0.78,0.81,0.8,0.79,0.8,0.76,0.67,0.65,0.68,0.81,0.71,0.7325,0.0,0.7829811223251407,0.0,0.0
Knox,17095,49699,93.30343562,3.149626187,27.67470904,15.58092109,3.841714877,22.57,17.37,26.6,1.695958545,19.17,26.85,1.340857869,18.42,26.35,1.213933335,1.637685412,18.46,26.69,1.548004134,18.29,27.05,1.664976044,18.59,26.73,3.130123028,18.45,24.11,1.976881999,0.84,0.76,0.81,0.77,0.82,0.84,0.84,0.83,0.82,0.79,0.8,0.78,0.83,0.84,0.83,0.83,0.67,0.66,0.72,0.69,0.71,0.72,0.74,0.7241,0.0,0.0,0.0,2.007790226077179
